title,popular_rank,startYear,episodes,language,origin_country,plot,summary,rating,genres,cast,image_url,imdb_id
Dérapages,1597,2020,6,French,France,"Alain Delambre is a senior executive worn out and humiliated by six years of unemployment. So when a prestigious company selects him as a candidate, he is prepared to betray his wife, steal from his daughters, hit his so... Read all","Alain Delambre is a senior executive worn out and humiliated by six years of unemployment. So when a prestigious company selects him as a candidate, he is prepared to betray his wife, steal from his daughters, hit his son-in-law and even take part in a role-playing game in the form of a hostage-taking scenario, knowing that, if he is hired, all will be forgiven. But nothing will go as planned. —Happy_Evil_Dude",7.1,Drama.Thriller,"['Eric Cantona', 'Suzanne Clément', 'Alex Lutz', 'Gustave Kervern', 'Alice de Lencquesaing', 'Louise Coldefy', 'Adama Niane', 'Aton', 'Soraya Garlenq', 'Carlos Chahine', 'Eurydice El-Etr', 'Cyril Couton', 'Nicolas Martinez', 'Xavier Robic', 'Clémence Bretécher', 'Aleksandra Yermak', 'Yann Collette', 'Ségolène Prunier']",https://m.media-amazon.com/images/M/MV5BZTE3MjVkM2YtYzU0Mi00MmE2LTgwMWEtODNhOTBiZTQ4OGFhXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_FMjpg_UX1000_.jpg,tt12101170
Días de Navidad,3760,2019,3,Spanish,Spain,"Four sisters celebrate Christmas in their family home at 3 different times in their lives: teen-hood, adulthood and elderly age.","Four sisters celebrate Christmas in their family home at 3 different times in their lives: teen-hood, adulthood and elderly age.",6.8,Drama,"['Victoria Abril', 'Carla Tous', 'Jay Britton', 'Alicia Borrachero', 'Mar Ayala', 'Francesc Garrido', 'Berta Castañé', 'Mariona Pagès', 'Gonzalo Cunill', 'Claudia Brohs', 'Anja Cilia', 'Kike Martínez', 'Ángela Molina', 'Nerea Barros', 'Charo López', 'Elena Anaya', 'Verónica Forqué', 'Anna Moliner']",https://m.media-amazon.com/images/M/MV5BNTAxMjlmOWEtODA0Yi00Nzc4LTk4YjgtZjg1NDVmNDgzZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt9731254
Dad Stop Embarrassing Me,820,2021,8,English,United States,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.,4.2,Comedy.Family,"['Jamie Foxx', 'Kyla-Drew', 'Porscha Coleman', 'Jonathan Kite', 'David Alan Grier', 'Valente Rodriguez', 'Heather Hemmens', 'Miracle Reigns', 'Keith Jefferson', 'Elijah M. Cooper', 'Roy Williams Jr.', 'Natalie Friedman', 'Jackée Harry', 'Luenell', 'Cleo Berry', 'Paul Toweh', 'Eugene Byrd', 'Jasmine Richard-Brooks']",https://m.media-amazon.com/images/M/MV5BNTM5MzRiODYtMTRiZC00OTFiLWFiMDUtNjBkMGI4YzYxYjAzXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_FMjpg_UX1000_.jpg,tt13018090
Dakteo Peurijeuneo,2631,2019,32,Korean,South Korea,"Doctor Prisoner centers around an ace doctor in a university hospital's emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. However, his medical license ge... Read all","Doctor Prisoner centers around an ace doctor in a university hospital's emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. However, his medical license gets suspended as a result of a medical malpractice incident that arises when the hospital board director causes a ruckus. He then gets his certificate as a medical internist and applies to work at a prison, where his plan is to cozy up to all the big-shots there-business tycoons, celebrities caught for doing drugs, sports stars guilty of gambling-and to win allies, with the ultimate goal of getting revenge against the hospital that ousted him. To do so, he'll get rid of the existing prison chief doctor and claim the spot for himself. —DramaBeans",7.8,Drama.Mystery.Thriller,"['Byeong-cheol Kim', 'Min Namkoong', 'Nara', 'Choi Wonyoung', 'Da-In Lee', 'Ryeoun', 'Hee-kyung Jin', 'Hyun-Sung Jang', 'Eun-Seok Park', 'Ji-Eun Kim', 'Lee Hyun Kyun', 'Geun-Su Won', 'Lee Joon-hyuk', 'Lee Min-Young', 'Kang Shin-il']",https://m.media-amazon.com/images/M/MV5BZjk3M2E1Y2ItOWVjNC00ODgwLWJjMTctNDUzYmRjZTNmMzg2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt9863766
Damnation,1150,2017,10,English,United States,"An epic saga about the secret history of the 1930s American heartland, centering on the mythic conflict and bloody struggle between big money and the downtrodden.","Seth Davenport appears to be a small town Iowa preacher, but he harbors ambitions of starting a full-blown insurrection against the status quo. But he is unaware that an industrialist tycoon has hired a deadly professional strikebreaker named Creeley Turner to stop that insurrection by any means necessary. And unknown to those around them, these two men share a secret bloody past.",7.7,Crime.Drama.Western,"['Logan Marshall-Green', 'Killian Scott', 'Sarah Jones', 'Chasten Harmon', 'Christopher Heyerdahl', 'Joe Adler', 'Philippa Domville', 'David Haysom', 'Melinda Page Hamilton', 'Teach Grant', 'Arnold Pinnock', 'Rohan Mead', 'Nola Augustson', 'Alexis McKenna', 'Dan Donohue', 'Paul Rae', 'Sasha Barry', 'Gabriel Mann']",https://m.media-amazon.com/images/M/MV5BNzNlOTU1OTYtYmI0ZS00NjVhLWE1ZjQtM2UwMjdjMTJiNjViXkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_FMjpg_UX1000_.jpg,tt6106704
"Dan, Hanaui Sarang",2660,2019,32,Korean,South Korea,"Dan is a care-free angel who always gets into trouble. In order to return to heaven, he is tasked with a mission to find true love for a cold and single-minded ballerina Lee Yun Seo, but ends up falling for her himself.","Dan is an angel. He is also a troublemaker and also an optimist. Yeon Seo is a ballerina who does not believe in love. Dan then receives a mission. If he succeeds, he can return to Heaven. His mission is to find true love for Yeon Seo, but Dan soon falls in love with her. —AsianWiki",7.7,Comedy.Drama.Fantasy,"['Hye-Sun Shin', 'Myung-Soo Kim', 'Dong-geon Lee', 'Bo-mi Kim', 'Kim In-kwon', 'Woo Hee-Jin', 'Do Ji-Won', 'Gil Eun Hye', 'Seung-wook Kim', 'Hwa-ryong Lee', 'Hyun-Sung Jang', 'Kim Yi-Kyeong', 'Michelle Oh', 'Uhm Seo-Hyun']",https://m.media-amazon.com/images/M/MV5BN2E1OGRiMGYtNmJjMC00NjlmLTgxYmItMjYyMTE1MDkyMTM2XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg,tt10160592
Danger Mouse,2395,2015,99,English,United Kingdom,The continuing adventures of secret agent Danger Mouse and his sidekick Penfold.,"Danger Mouse is a British children's animated television series based on the 1981 series of the same name. The series is produced by FremantleMedia and premiered 28 September 2015 on CBBC. The series revolves around the capers of Danger Mouse, a British spy, and his hamster sidekick, Penfold.",7.1,Action.Adventure.Animation,"['Alexander Armstrong', 'Kevin Eldon', 'Dave Lamb', 'Stephen Fry', 'Shauna Macdonald', 'Ed Gaughan', 'Marc Silk', 'Morwenna Banks', 'Rasmus Hardiker', 'Kayvan Novak', 'Lena Headey', 'Maya Sondhi', 'Richard Ayoade', 'John Oliver', 'Miranda Richardson', 'Richard Osman', 'Lindsey Russell', 'Ben Willbond']",https://m.media-amazon.com/images/M/MV5BOTkxNTU0NjgtOGQ0Yi00YTYwLWEzZTQtY2QzYjY1NGFiNWRhXkEyXkFqcGdeQXVyNTU0MTE4NjY@._V1_FMjpg_UX1000_.jpg,tt4196822
Dangshini Jamdeun Saie,1274,2017,32,Korean,South Korea,"The drama is about a woman, Nam Hong Joo, who can see accidents that take place in the future through her dreams. And a prosecutor, Jung Jae Chan, who struggles to stop the woman's dreams from coming true.","A young woman with bad premonition dreams meets two people who suddenly develop the same ability. Nam Hong Joo lives with her mother, Yoon Moon Sun, a widow who runs a small restaurant. Jung Jae Chan, a rookie prosecutor, and his younger brother, Seung Won, move in across the street. Since she was young, Hong Joo has had the ability to see bad events before they happen, but she is often unable to do anything about it. One day, Jae Chan has a strange premonition dream about an accident involving Hong Joo and Lee Yoo Beom, a ruthless attorney who used to be Jae Chan's tutor. Jae Chan decides to interfere in the course of events and ends up saving the lives of Hong Joo and Han Woo Tak, a young police officer. When Jae Chan, Hong Joo, and Woo Tak then start having dreams about one another, they realize that their lives are now somehow entwined. But can the three discover the reason that they were brought together, and can they prevent the people closest to them from getting hurt? —(Source: Viki)",8.4,Comedy.Drama.Fantasy,"['Bae Suzy', 'Lee Jong-Suk', 'Jung Hae-In', 'Lee Sang-Yeob', 'Ko Sung-hee', 'Sin Jae-ha', 'Kim Won-Hae', 'Hwang Young-Hee', 'Park Jin-Joo', 'Min Sung-wuk', 'Bae Hae-Sun', 'Lee Gi-yeong', 'Oh Eui-Sik', 'Lee Yoo-Joon', 'Pyo Ye-Jin', 'Nam Da-Reum', 'Kim So-Hyun', 'Eom Hyo-Seob']",https://m.media-amazon.com/images/M/MV5BMmQzYmFjZjktMWJlYy00Y2VkLTk4YjktODQ3MGQ4MDE0NDIzXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg,tt6256484
Dare Me,1018,2019,10,English,United States,The lives of several cheerleaders are changed forever when a shocking crime rocks their quiet suburban world.,"Based on Megan Abbott's acclaimed crime novel, this series follows the fraught relationship between two best friends after their charismatic new cheer coach arrives to bring their squad to prominence. Boundaries are crossed and the young women's lives are changed forever when a shocking crime rocks their quiet suburban world.",6.7,Crime.Mystery.Thriller,"['Willa Fitzgerald', 'Herizen F. Guardiola', 'Marlo Kelly', 'Rob Heaps', 'Zach Roerig', 'Paul Fitzgerald', 'Alison Thornton', 'Taveeta Szymanowicz', 'Addyson Douglas', 'Brittany Raymond', 'Brittany Teo', 'Kaden Hebb', 'Bria Grace Mitchell', 'Brittany Spiteri', 'Haley Chau', 'Hannah Roberts', 'Hannah Sheppard', 'Erika Prevost']",https://m.media-amazon.com/images/M/MV5BYWQ3OWM0MjgtODRkMy00NTUwLWI0YTEtOGZhNTJhMzE0NGEwXkEyXkFqcGdeQXVyMjIwNTI1MTM@._V1_FMjpg_UX1000_.jpg,tt2983222
Daredevil,145,2015,39,English,United States,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","As a child Matt Murdock was blinded by a chemical spill in a freak accident. Instead of limiting him it gave him superhuman senses that enabled him to see the world in a unique and powerful way. Now he uses these powers to deliver justice, not only as a lawyer in his own law firm, but also as vigilante at night, stalking the streets of Hell's Kitchen as Daredevil, the man without fear. —DDK",8.6,Action.Crime.Drama,"['Charlie Cox', ""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson', 'Royce Johnson', 'Geoffrey Cantor', 'Jay Ali', 'Jon Bernthal', 'Stephen Rider', 'Wilson Bethel', 'Ayelet Zurer', 'Peter McRobbie', 'Amy Rutberg', 'Elodie Yung', 'Toby Leonard Moore', 'Joanne Whalley', 'Vondie Curtis-Hall', 'Bob Gunton']",https://m.media-amazon.com/images/M/MV5BODcwOTg2MDE3NF5BMl5BanBnXkFtZTgwNTUyNTY1NjM@._V1_FMjpg_UX1000_.jpg,tt3322312
Dark,72,2017,26,German,Germany,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","The first German production from the world's leading Internet TV Network is set in a German town in present day where the disappearance of two young children exposes the double lives and fractured relationships among four families. In ten hour-long episodes, the story takes on a surprising twist that ties back to the same town in 1986. —Wiedemann & Berg Television",8.8,Crime.Drama.Mystery,"['Louis Hofmann', 'Karoline Eichhorn', 'Lisa Vicari', 'Maja Schöne', 'Stephan Kampwirth', 'Jördis Triebel', 'Andreas Pietschmann', 'Paul Lux', 'Moritz Jahn', 'Christian Hutcherson', 'Oliver Masucci', 'Peter Benedict', 'Gina Stiebitz', 'Deborah Kaufmann', 'Daan Lennard Liebrenz', 'Julika Jenkins', 'Carlotta von Falkenhayn', 'Tamar Pelzig']",https://m.media-amazon.com/images/M/MV5BOTk2NzUyOTctZDdlMS00MDJlLTgzNTEtNzQzYjFhNjA0YjBjXkEyXkFqcGdeQXVyMjg1NDcxNDE@._V1_FMjpg_UX1000_.jpg,tt5753856
Dark Desire,464,2020,19,Spanish,Mexico,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.","Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",6.5,Drama.Mystery.Thriller,"['Maite Perroni', 'Erik Hayser', 'Jorge Poza', 'María Fernanda Yepes', 'Regina Pavón', 'Paulina Matos', 'Alejandro Speitzer', 'Carmen Beato', 'Leticia Huijara', 'Eligio Meléndez', 'Fabián Merlo', 'Samantha Orozco', 'Claudia Pineda', 'Esteban Soberanes', 'Tony Valdes', 'María de Villa', 'Magali Boysselle', 'Jay Samaniego']",https://m.media-amazon.com/images/M/MV5BMmMzMDI4NzMtZGMyYS00MjJhLWI0OWUtMTYxZDZlMjMzYjk0XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_FMjpg_UX1000_.jpg,tt12540080
Dark Net,3679,2016,16,English,United States,"Explores the furthest reaches of the internet and the people who frequently use it, providing a revealing and cautionary look inside a vast cyber netherworld.","Explores the furthest reaches of the internet and the people who frequent it, providing a revealing and cautionary look inside a vast cyber netherworld rarely witnessed by most of us.",7.1,Documentary,"['Lauren Terp', 'Kristie', 'Drew', 'Anisha Vora', 'Yusuke', 'Akari Uchida', 'Webster', 'Rob Harrington', 'Hannes Sjoblad', 'Rob Spence', 'Abby Stein', 'Joseph Atick', 'Nick Cantarochi', 'Chelsea Clark', 'Cicely Cobb', 'Dan Conover', 'Sean Cooper', 'Kino Coursey']",https://m.media-amazon.com/images/M/MV5BMTgxODgxMjI5N15BMl5BanBnXkFtZTgwMDc4MDc5NzE@._V1_FMjpg_UX1000_.jpg,tt5397520
Dark Tourist,2043,2018,8,English,New Zealand,"From a nuclear lake to a haunted forest, New Zealand filmmaker and journalist David Farrier ('Tickled') visits unusual -- and often macabre -- tourism spots around the world.","From a nuclear lake to a haunted forest, New Zealand filmmaker and journalist David Farrier ('Tickled') visits unusual -- and often macabre -- tourism spots around the world.",7.5,Documentary,"['David Farrier', 'Robin Brown', 'Dan Bulter', 'Daley Catherine', 'Michael Channels', 'Martine de Souza', 'Andy Drury', 'Claudia Escárraga', 'Kieran Geary', 'Pat Hall', 'Carel Willem Hendrik Boshoff', 'Ricardo Hernandez', 'Andy Jones', 'Deanna Little', 'Maven Lore', 'Minel Louis', 'Stacey-Lee May', 'Russ McKamey']",https://m.media-amazon.com/images/M/MV5BYTA3MTYyNmQtN2IxMC00ZjUxLTk5MzYtMTliNmM0NzY1MWE4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1000_.jpg,tt8725166
DARLING in the FRANXX,829,2018,26,Japanese,Japan,"In a future world where humanity has been driven to endangerment by giant beasts, a strike force is assembled to destroy the monsters and save the world.","The story is set in the distant future. The land is ruined, and humanity establishes the mobile fort city Plantation. Pilots produced inside Plantation live in Mistilteinn, also know as the ""birdcage."" Children live there knowing nothing of the outside world or the freedom of the sky. Their lives consist of battling to carry out missions. Their enemies are mysterious giant lifeforms known as Kyouryuu, and the children pilot robots called Franxx to face off against them. For the children, riding the Franxx proves their existence. —ANN",7.4,Action.Animation.Drama,"['Yûto Uemura', 'Kana Ichinose', 'Nanami Yamashita', 'Saori Hayami', 'Shizuka Ishigami', 'Bryn Apprill', 'Leah Clark', 'Brittany Lauda', 'Matt Shipman', 'Jeannie Tirado', 'Haruka Tomatsu', 'Mutsumi Tamura', 'Aoi Ichikawa', 'Hiroki Gotô', 'Tia Lynn Ballard', 'Bryson Baugus', 'Ryan Reynolds', 'Blake Shepard']",https://m.media-amazon.com/images/M/MV5BZGVlY2ZhM2ItMWIwZC00YjU0LWJjNjAtZGVlNWJkM2JmZjhmXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_FMjpg_UX1000_.jpg,tt7865090
Darwin's Game,2572,2020,12,Japanese,Japan,"An unknowing Sudou Kaname is invited to try out a new mysterious mobile app game called Darwin's Game, but later realizes that he's in for more than he's bargained for when he finds out that there's no way to quit the ga... Read all","Darwin's Game focuses on 17-year old Kaname Sudou, who accepts an online invitation from a friend to play a mobile game called Darwin's Game. He had no idea that the game involves a fight between the two players and you might actually die both in the game and in real life. To win the fight, players are given a Sigil, an evolutionary ability that varies from player to player and only the most skillful players will be able to clear the game and survive. Kaname determines to clear the game, find the creators of the game and take revenge upon them. —Scientiiaa",7.3,Action.Animation.Drama,"['Yûsuke Kobayashi', 'Alexis Tipton', 'Reina Ueda', 'Tia Lynn Ballard', 'Nichika Ohmori', 'Yumiri Hanamori', 'Taku Yashiro', 'Brittany Lauda', 'Stephen Fu', 'Mark Allen Jr.', 'Z. Charles Bolton', 'Jessica Cavanagh', 'Clifford Chapin', 'Jordan Dash Cruz', 'Greg Dulcie', 'Cris George', 'Caitlin Glass', 'Jarrod Greene']",https://m.media-amazon.com/images/M/MV5BNzdhOGUwNjEtNTQyMi00MjkxLThkNDMtYjZiZmVkYWI2NDllXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_FMjpg_UX1000_.jpg,tt11405390
Das letzte Wort,3186,2020,6,German,Germany,"While still working through her husband's recent death, a widow offers her services as an eulogy speaker. With her fresh personality, she is soon known as a fun alternative to the other typically somber German eulogy spe... Read all",While still working through her husband's recent death - and the questions and financial issues he left behind - a widow offers her services as a eulogy speaker. With her fresh personality and unabashed honesty she is soon known as a fun alternative to the other typically somber German eulogy speakers. —lisakathrin1,7.1,Comedy.Drama,"['Anke Engelke', 'Thorsten Merten', 'Johannes Zeiler', 'Nina Gummich', 'Juri Winkler', 'Claudia Geisler-Bading', 'Gudrun Ritter', 'Aaron Hilmer', 'Natalia del Riego', 'Sebastian Fräsdorf', 'Dela Dabulamanzi', 'Mia Kasalo', 'Mehdi Nebbou', 'Rosalie Thomass', 'Ulrich Brandhoff', 'Jale Arikan', 'Richard Sammel', 'Sabine Beck-Baruth']",https://m.media-amazon.com/images/M/MV5BYTcxNjc5NDctMzczNi00ZjM0LTg0OWUtNjI2NjAwN2M3MWY4XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_FMjpg_UX1000_.jpg,tt10506510
Dash & Lily,1153,2020,8,English,United States,"A whirlwind holiday romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they pass back and forth at locations all across New York City.","A whirlwind holiday romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they pass back and forth at locations all across New York City.",7.5,Comedy.Drama.Romance,"['Austin Abrams', 'Midori Francis', 'Dante Brown', 'Troy Iwata', 'James Saito', 'Leah Kreitz', 'Keana Marie', 'Glenn McCuen', 'Ianne Fields Stewart', 'Michael Cyril Creighton', 'William Hill', 'Diego Guevara', 'Agneeta Thacker', 'Patrick Vaill', 'David Rodriguez', 'Jodi Long', 'Gideon Emery', 'Nick Blaemire']",https://m.media-amazon.com/images/M/MV5BYmZmN2NlMjQtOTJiYS00ZmI4LWFmMTItNDk1ZDNmYTBkZDZiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UX1000_.jpg,tt1758589
Dashi Mannan Segye,3907,2017,40,Korean,South Korea,"Sung Hae Sung (Yeo Jin Goo, Circle: Two Worlds Connected) is a cheery high school student. Being the eldest sibling, he wants to provide for his family instead of going to college. On the day of his 19th birthday, he get... Read all","Sung Hae Sung (Yeo Jin Goo, Circle: Two Worlds Connected) is a cheery high school student. Being the eldest sibling, he wants to provide for his family instead of going to college. On the day of his 19th birthday, he gets into a car accident and passes out. He wakes up on the top of his school building. He thinks he survived and everything is normal. Except everyone thinks he died 12 years ago, and he hasn't aged at all. Jung Jung Won (Lee Yeon Hee, The Package) is Hae Sung's best friend. She was the one who took him to the place where he had his accident. Distraught, she has been unable to move on from the incident since. Having failed to pursue her dreams under the stress, she works as a kitchen assistant at a nice restaurant. Cha Min Joon (Ahn Jae Hyun, Cinderella and Four Knights) is the owner of the restaurant where Jung Won works. He has feelings for her. However, she has never shown any interest in him. In her mind, she can't be with anyone while carrying Hae Sung in her memories. One night, Jung Won finds a young man passed out in front of her house. He is Hae Sung, her first love. She is now 31; he is 19. Can they pick up their love where they left off, or will their reunited worlds always stay separate? Also known as ""Into the World Again"" and ""Into the New World,"" Reunited Worlds is directed by Baek Soo Chan and written by Lee Hee Myung, the creative team behind Beautiful Gong Shim and Sensory Couple.",7.4,Fantasy.Romance,"['Sol-bin Ahn', 'Kwak Dong-yeon', 'Park Jin-Joo', 'Soo-Ho Shin', 'Lee Si-eon', 'Kim Jin Woo', 'Sun-Woo Yoon', 'Kil-kang Ahn', 'Ahn Jae-Hyun', 'Yeo Jin-gu', 'Chae-Yeon Jung', 'Yeon-hee Lee']",https://m.media-amazon.com/images/M/MV5BM2EzNGZhYzItOWViOS00M2I2LWEyNGUtYmFjNmFhYWI0MDc3XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg,tt7056766
Daughters of Destiny,3859,2017,4,English,United States,Oscar-winning filmmaker Vanessa Roth follows a group of rural India's most disadvantaged children over the course of seven years.,"In 1996, Dr. Abraham George, an American businessman, born in India, was determined to change the rampant poverty in his home country. Nearly 20 years later, The Shanti Bhavan Children's Project has produced a generation of engineers, lawyers, scientists and journalists. Daughters of Destiny, follows a unique group of Shanti Bhavan kids, born into the most discriminated against and impoverished families on earth, as they grow up. Daughters of Destiny is an exploration of their lives, of global poverty and opportunity, and the human longing for purpose and meaning.",8.6,Documentary,"['Shilpa Anthony Raj', 'Abraham George', 'Ajit George', 'Mariam George', 'Quinn Coughlin', 'Aimée Cucchiaro', 'Alexis Jenofsky', 'Ashley Monroe', 'Michelle Musset', 'Jason Schwann']",https://m.media-amazon.com/images/M/MV5BYzBmNDg0MGUtZjBiYy00YmNhLThlNjgtN2Q3M2VmN2FhNDA0XkEyXkFqcGdeQXVyNzQzNjYwMDM@._V1_FMjpg_UX1000_.jpg,tt1877895
Dawn of the Croods,2796,2015,52,English,United States,"Eep, Grug, Thunk, Ugga, Sandy and Gran are back. Follow them as they meet new friends, outrun new creatures and encounter ""firsts"" the world has never seen - such as school, slumber parties, hiccups and elections.","Eep, Grug, Thunk, Ugga, Sandy and Gran are back. Follow them as they meet new friends, outrun new creatures and encounter ""firsts"" the world has never seen - such as school, slumber parties, hiccups and elections.",6,Adventure.Animation.Comedy,"['Dan Milano', 'A.J. LoCascio', 'Laraine Newman', 'Cree Summer', 'Stephanie Lemelin', 'Dominic Catrambone', 'Dee Bradley Baker', 'Grey Griffin', 'Chris Parnell', 'Thomas Lennon', 'Ana Gasteyer', 'Christian Slater']",https://m.media-amazon.com/images/M/MV5BZWNkNmE1NmYtMDQzMy00NmU3LWFmMGYtYzAxZjllZGE5OGM1XkEyXkFqcGdeQXVyNTgwODM3MjE@._V1_FMjpg_UX1000_.jpg,tt5193172
Dawson's Creek,152,1998,128,English,United States,Four friends in a small coastal town help each other cope with adolescence.,"Set in a small coastal, Massachusetts town named Capeside, Dawson's Creek tells the story of four teenagers as they struggle through adolescence. This is particularly true for 15-year-olds Dawson Leery, an introspective dreamer and Joey Potter, a precocious tomboy unaware of her beauty. Best friends since childhood, they are about to enter that confusing time in life where nothing is the way it was and nothing is as it seems. —John <littlejohnboy@hotmail.com>",6.6,Drama.Romance,"['James Van Der Beek', 'Katie Holmes', 'Michelle Williams', 'Joshua Jackson', 'Mary Beth Peil', 'Kerr Smith', 'Mary-Margaret Humes', 'Nina Repeta', 'John Wesley Shipp', 'Meredith Monroe', 'Busy Philipps', 'Dylan Neal', 'Sasha Alexander', 'Mark Matkevich', 'Oliver Hudson', 'Michael Pitt', 'Monica Keena', 'Hal Ozsan']",https://m.media-amazon.com/images/M/MV5BNjhjNzBiNGMtZGI0ZC00NjEyLTgxM2EtYzU3OWYwOTdhOTE3XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_FMjpg_UX1000_.jpg,tt0118300
Daybreak,580,2019,10,English,United States,High school outcast Josh is searching for his missing girlfriend in post apocalyptic Glendale. He's joined by a group of misfits Angelica and his former bully Wesley. On the way they'll face many weird things.,"17 year old high school outcast Josh searching for his missing girlfriend Sam in post-apocalyptic Glendale, California. He is joined by a ragtag group of misfits including a pyromaniac 12 year old, Angelica, and Josh's former high school bully, Wesley, now turned pacifist samurai. Josh and the group tries to stay alive amidst the horde of Mad Max-style gangs (evil jocks, cheerleaders turned Amazon warriors), zombie-like creatures called Ghoulies, and everything else this brave new world throws at him. —Variety",6.7,Action.Adventure.Comedy,"['Colin Ford', 'Alyvia Alyn Lind', 'Sophie Simnett', 'Austin Crute', 'Cody Kearsley', 'Jeanté Godlock', 'Greg Kasyan', 'Krysta Rodriguez', 'Matthew Broderick', 'Jon LeVert', 'Mickey Dolan', 'Rob H. Roy', 'Jack Justice', 'A.J. Voliton', 'Estrella Avila', 'Chelsea Zhang', 'Alan Trong', 'Luke Valen']",https://m.media-amazon.com/images/M/MV5BM2MxNzI3MmItZmIzNC00NjYxLWIzMDEtMzdiNWFhYWVmYTU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,tt8755226
DC Super Friends,4913,2015,15,English,United States,"The Super Friends are the World's Greatest Super Heroes. They work together to stop the villains and protect the innocent, keeping the world safe. Go, Super Friends.","The Super Friends are the World's Greatest Super Heroes. They work together to stop the villains and protect the innocent, keeping the world safe. Go, Super Friends.",6.8,Animation,"['Blaze Berdahl', 'Johnny Yong Bosch', 'Mark Deakins', 'Gideon Emery', 'Richard Epcar', 'Lloyd Floyd', 'Mark Gagliardi', 'Bryton James', 'Yuri Lowenthal', 'Rachael MacFarlane', 'Matthew Mercer', 'Sean Schemmel', 'Dana Snyder', 'Steve Staley', 'Marc Thompson', 'Travis Willingham', 'Wally Wingert', 'Fryda Wolff']",https://m.media-amazon.com/images/M/MV5BNjQwZDJmMjQtODY5MC00MTBiLWE1ZDktM2UwNGM2OGVlMDVhXkEyXkFqcGdeQXVyMjA4MzgxNjg@._V1_FMjpg_UX1000_.jpg,tt5468690
DC Super Hero Girls,1265,2019,57,English,United States,Teenage versions of DC Comics superheroines both attend high school and fight crime to protect the citizens of Metropolis.,Teenage versions of DC Comics superheroines both attend high school and fight crime to protect the citizens of Metropolis.,7.1,Action.Adventure.Animation,"['Tara Strong', 'Kari Wahlgren', 'Myrna Velasco', 'Kimberly Brooks', 'Nicole Sullivan', 'Grey Griffin', 'Phil LaMarr', 'Keith Ferguson', 'Jason Spisak', 'Fred Tatasciore', 'Jessica McKenna', 'Cree Summer', 'Mallory Low', 'Cristina Milizia', 'Eddie Perino', 'Will Friedle', 'Rina Hoshino', 'Max Mittelman']",https://m.media-amazon.com/images/M/MV5BMzUwMmMxYjMtMDE2ZS00MzIyLTg3YzgtM2FkNzU1MjMwMDlmXkEyXkFqcGdeQXVyMDc2NzIyOA@@._V1_FMjpg_UX1000_.jpg,tt9628244
